StopID;DIVA;StopText;Municipality;MunicipalityID;Longitude;Latitude
113;60201025;Plößlgasse;Wien;49000001;16.3773476;48.1943568
114;60200446;Gußhausstraße;Wien;49000001;16.3751198;48.1981711
115;60200371;Seegasse;Wien;49000001;16.3614295;48.2228588
116;60201169;Schlickgasse;Wien;49000001;16.3643939;48.218747
117;60200112;Bauernfeldplatz;Wien;49000001;16.3608905;48.2206802
118;60200345;Franz-Josefs-Bahnhof S;Wien;49000001;16.3611331;48.2257913
119;60200099;Augasse;Wien;49000001;16.357441;48.229711
120;60200786;Liechtenwerder Platz;Wien;49000001;16.3566684;48.2325175
121;60201062;Spittelau S U;Wien;49000001;16.356893;48.235982
122;60201068;Rampengasse;Wien;49000001;16.3604413;48.2406847
123;60200439;Gunoldstraße;Wien;49000001;16.3617529;48.2444417
124;60200301;Heiligenstadt, 12.-Februar-Platz;Wien;49000001;16.3626961;48.2487309
125;60200468;Halteraugasse;Wien;49000001;16.3638639;48.2516679
126;60200428;Grinzinger Straße;Wien;49000001;16.3653282;48.2544791
127;60201231;Sickenberggasse;Wien;49000001;16.367008;48.2578644
128;60200948;Nußdorf S;Wien;49000001;16.3673763;48.25985
130;60200371;Seegasse;Wien;49000001;16.3613666;48.2230982
131;60200467;Eckpergasse;Wien;49000001;16.3165946;48.2333731
132;60200527;Hintere Zollamtsstraße;Wien;49000001;16.3865374;48.211151
133;60200419;Gredlerstraße;Wien;49000001;16.3795126;48.2138866
134;60201198;Schwedenplatz U;Wien;49000001;16.3777339;48.2117975
135;60200034;Althanstraße;Wien;49000001;16.3597496;48.2287416
136;60200034;Althanstraße;Wien;49000001;16.3592286;48.228957
137;60200520;Hietzing U;Wien;49000001;16.3039732;48.1884041
138;60201561;Cumberlandstraße;Wien;49000001;16.3017364;48.1923088
139;60200055;Ameisgasse;Wien;49000001;16.2996703;48.1943927
140;60200780;Leyserstraße;Wien;49000001;16.3025449;48.1983807
141;60200502;Herbeckstraße;Wien;49000001;16.3170258;48.2324517
142;60200026;Alsegger Straße;Wien;49000001;16.3241404;48.2316857
